Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,AEFI,18-30 years (Age),30-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
16/01/2021,India,48276.0,3455.0,2957.0,48276.0,0.0,23757.0,24517.0,2.0,579.0,47697.0,,,,,,48276
17/01/2021,India,58604.0,8532.0,4954.0,58604.0,0.0,27348.0,31252.0,4.0,635.0,57969.0,,,,,,58604
18/01/2021,India,99449.0,13611.0,6583.0,99449.0,0.0,41361.0,58083.0,5.0,1299.0,98150.0,,,,,,99449
19/01/2021,India,195525.0,17855.0,7951.0,195525.0,0.0,81901.0,113613.0,11.0,3017.0,192508.0,,,,,,195525
20/01/2021,India,251280.0,25472.0,10504.0,251280.0,0.0,98111.0,153145.0,24.0,3946.0,247334.0,,,,,,251280
21/01/2021,India,365965.0,32226.0,12600.0,365965.0,0.0,132784.0,233143.0,38.0,5367.0,360598.0,,,,,,365965
22/01/2021,India,549381.0,36988.0,14115.0,549381.0,0.0,193899.0,355402.0,80.0,8128.0,541253.0,,,,,,549381
23/01/2021,India,759008.0,43076.0,15605.0,759008.0,0.0,267856.0,491049.0,103.0,11192.0,747816.0,,,,,,759008
24/01/2021,India,835058.0,49851.0,18111.0,835058.0,0.0,296283.0,538647.0,128.0,13156.0,821902.0,,,,,,835058
25/01/2021,India,1277104.0,55151.0,19682.0,1277104.0,0.0,444137.0,832766.0,201.0,18858.0,1258246.0,,,,,,1277104
26/01/2021,India,1293784.0,60821.0,21467.0,1293784.0,0.0,449119.0,844448.0,217.0,19604.0,1274180.0,,,,,,1293784
27/01/2021,India,1726490.0,69495.0,23737.0,1726490.0,0.0,586081.0,1140137.0,272.0,27377.0,1699113.0,,,,,,1726490
28/01/2021,India,2295491.0,78523.0,25610.0,2295491.0,0.0,771229.0,1523939.0,323.0,36921.0,2258570.0,,,,,,2295491
29/01/2021,India,2814803.0,83664.0,26219.0,2814803.0,0.0,939069.0,1875368.0,366.0,43604.0,2771199.0,,,,,,2814803
30/01/2021,India,3067736.0,87822.0,26643.0,3067736.0,0.0,1022380.0,2044950.0,406.0,48300.0,3019436.0,,,,,,3067736
31/01/2021,India,3127107.0,91593.0,27011.0,3127107.0,0.0,1061307.0,2065391.0,409.0,58890.0,3068217.0,,,,,,3127107
01/02/2021,India,3350265.0,97432.0,27751.0,3350265.0,0.0,1152344.0,2197431.0,490.0,69372.0,3280893.0,,,,,,3350265
02/02/2021,India,3527971.0,106461.0,29522.0,3527971.0,0.0,1218507.0,2308898.0,566.0,76794.0,3451177.0,,,,,,3527971
03/02/2021,India,3825835.0,116568.0,31167.0,3825835.0,0.0,1324273.0,2500887.0,675.0,86001.0,3739834.0,,,,,,3825835
